Context Length,Document Depth,Score
773,0.0,3
772,10.0,3
772,20.0,3
772,30.0,3
772,40.0,3
772,60.0,3
772,70.0,3
772,80.0,3
772,90.0,3
773,100.0,3
1798,0.0,3
1797,10.0,3
1797,20.0,3
1797,30.0,3
1797,40.0,3
1797,60.0,3
1797,70.0,3
1797,80.0,3
1797,90.0,3
1798,100.0,3
2822,0.0,3
2821,10.0,3
2821,20.0,3
2821,30.0,3
2821,40.0,3
2821,60.0,3
2821,70.0,3
2821,80.0,3
2821,90.0,3
2822,100.0,3
3845,0.0,3
3844,10.0,3
3844,20.0,3
3844,30.0,3
3844,40.0,3
3844,60.0,3
3844,70.0,3
3844,80.0,3
3844,90.0,3
3845,100.0,3
4870,0.0,3
4869,10.0,3
4869,20.0,3
4869,30.0,3
4869,40.0,3
4869,60.0,3
4869,70.0,3
4869,80.0,3
4869,90.0,3
4870,100.0,3
5894,0.0,3
5893,10.0,3
5893,20.0,3
5893,30.0,3
5893,40.0,3
5893,60.0,3
5893,70.0,3
5893,80.0,3
5893,90.0,3
5894,100.0,3
6907,0.0,3
6906,10.0,3
6906,20.0,3
6906,30.0,3
6906,40.0,3
6906,60.0,3
6906,70.0,3
6906,80.0,3
6906,90.0,3
6907,100.0,3
7891,0.0,3
7890,10.0,3
7890,20.0,3
7890,30.0,3
7890,40.0,3
7890,60.0,3
7890,70.0,3
7890,80.0,3
7890,90.0,3
7891,100.0,3
8875,0.0,3
8874,10.0,3
8874,20.0,3
8874,30.0,3
8874,40.0,3
8874,60.0,3
8874,70.0,3
8874,80.0,3
8874,90.0,3
8875,100.0,3
9859,0.0,3
9858,10.0,3
9858,20.0,3
9858,30.0,3
9858,40.0,3
9858,60.0,3
9858,70.0,3
9858,80.0,3
9858,90.0,3
9859,100.0,3
10843,0.0,3
10842,10.0,3
10842,20.0,3
10842,30.0,3
10842,40.0,3
10842,60.0,3
10842,70.0,3
10842,80.0,3
10842,90.0,3
10843,100.0,3
11827,0.0,3
11826,10.0,3
11826,20.0,3
11826,30.0,3
11826,40.0,3
11826,60.0,3
11826,70.0,3
11826,80.0,3
11826,90.0,3
11827,100.0,3
12811,0.0,3
12810,10.0,3
12810,20.0,3
12810,30.0,3
12810,40.0,2
12810,60.0,3
12810,70.0,3
12810,80.0,3
12810,90.0,3
12811,100.0,3
13795,0.0,3
13794,10.0,2
13794,20.0,3
13794,30.0,2
13794,40.0,1
13794,60.0,3
13794,70.0,3
13794,80.0,3
13794,90.0,3
13795,100.0,3
14779,0.0,2
14778,10.0,2
14778,20.0,1
14778,30.0,2
14778,40.0,2
14778,60.0,3
14778,70.0,3
14778,80.0,3
14778,90.0,3
14779,100.0,3
15763,0.0,2
15762,10.0,2
15762,20.0,1
15762,30.0,1
15762,40.0,2
15762,60.0,2
15762,70.0,3
15762,80.0,3
15762,90.0,3
15763,100.0,3
